,oid,ra,dec
36,CSS_J000501.8+323734,1.2575,32.626194444444444
37,CSS_J000505.8+442804,1.2745,44.46791666666667
38,CSS_J000518.7+420822,1.3279583333333334,42.13955555555555
39,CSS_J000614.3+263239,1.559625,26.54438888888889
40,CSS_J000622.9-075434,1.5955416666666666,-7.909472222222222
41,CSS_J000628.9+405024,1.6205833333333333,40.84005555555556
42,CSS_J000632.4-152926,1.635,-15.490638888888888
43,CSS_J000632.7-174319,1.6362916666666667,-17.721944444444446
44,CSS_J000633.3+320602,1.6390416666666667,32.10075
45,CSS_J000639.4+293459,1.6643333333333334,29.583222222222222
46,CSS_J000642.4+311501,1.67675,31.25036111111111
47,CSS_J000649.3-180718,1.7056666666666667,-18.121777777777776
48,CSS_J000649.7-170543,1.707125,-17.095388888888888
49,CSS_J000655.0+401222,1.72925,40.20616666666667
50,CSS_J000658.1+390859,1.7422083333333334,39.14983333333333
51,CSS_J000704.7+423129,1.7699583333333333,42.52472222222222
52,CSS_J000713.8+432642,1.8076666666666668,43.44511111111111
53,CSS_J000713.9-134225,1.808125,-13.707166666666666
54,CSS_J000715.7+253905,1.8157083333333333,25.651611111111112
55,CSS_J000723.6-162101,1.8485833333333332,-16.350305555555554
56,CSS_J000740.9+442845,1.9204583333333334,44.47922222222222
57,CSS_J000809.9+385226,2.0415,38.874
58,CSS_J000821.0+425117,2.087666666666667,42.85477777777778
59,CSS_J000825.3+170048,2.105541666666667,17.01338888888889
60,CSS_J000831.5+314901,2.1314166666666665,31.817027777777778
61,CSS_J000953.4+432937,2.4727083333333333,43.49375
62,CSS_J001027.0+431509,2.612875,43.2525
63,CSS_J001123.2-173231,2.846875,-17.54211111111111
64,CSS_J001124.3-040621,2.85125,-4.105833333333333
65,CSS_J001129.0-101110,2.870833333333333,-10.186361111111111
66,CSS_J001130.6-124814,2.8778333333333332,-12.804083333333333
67,CSS_J001131.7-112029,2.8822916666666667,-11.34163888888889
68,CSS_J001139.1-162641,2.9130833333333332,-16.44475
69,CSS_J001143.0+443719,2.9294166666666666,44.622166666666665
70,CSS_J001145.6+181545,2.9402916666666665,18.26263888888889
71,CSS_J001145.7+181545,2.9407083333333333,18.262555555555554
72,CSS_J001148.6-120457,2.9527083333333333,-12.082694444444444
73,CSS_J001154.8+034927,2.9783333333333335,3.82425
74,CSS_J001156.0+431630,2.9835,43.27502777777778
75,CSS_J001156.9+162328,2.9870833333333335,16.39125
76,CSS_J001217.5+054653,3.073166666666667,5.7815
77,CSS_J001218.2+231608,3.0759583333333333,23.26897222222222
78,CSS_J001223.3+274350,3.0974166666666667,27.730805555555555
79,CSS_J001223.5+274350,3.0982916666666664,27.730555555555554
80,CSS_J001226.4+290852,3.1101666666666667,29.147805555555557
81,CSS_J001226.4+384325,3.1101666666666667,38.72372222222222
82,CSS_J001226.9+205605,3.1120833333333335,20.93497222222222
83,CSS_J001228.5+274432,3.1190416666666665,27.742305555555557
84,CSS_J001228.7+274431,3.1197916666666665,27.742055555555556
85,CSS_J001231.6-140208,3.1317083333333335,-14.035777777777778
86,CSS_J001238.5-103835,3.160416666666667,-10.643055555555556
87,CSS_J001239.0+290410,3.1627916666666667,29.06963888888889
88,CSS_J001241.2+045037,3.171666666666667,4.843611111111111
89,CSS_J001241.8+224144,3.1745,22.695611111111113
90,CSS_J001242.4+130809,3.176833333333333,13.13588888888889
91,CSS_J001242.4+252831,3.177,25.475444444444445
92,CSS_J001243.2-120042,3.1802916666666667,-12.011916666666666
93,CSS_J001244.8-080209,3.1870416666666666,-8.035944444444445
94,CSS_J001246.1+413555,3.19225,41.59875
95,CSS_J001248.3+201447,3.201625,20.24663888888889
96,CSS_J001259.9+141858,3.2497083333333334,14.316194444444445
97,CSS_J001301.6-165514,3.257,-16.92061111111111
98,CSS_J001303.9+030153,3.2662916666666666,3.031416666666667
